First Name|Last Name|NPI|Address 1|Address 2|Address 3|City|State Abbreviation|Zip Code|Phone Number|Appointment Type|Extraction Date Time|Next Available Appointment Date Time
Anthony|Stark|9123456780|123 Pacific Coast Highway|Suite 105||Malibu|CA|90265|323-555-1212|URGENT|2020-03-14 16:04|2020-03-16 10:30
Anthony|Stark|9123456780|123 Pacific Coast Highway|Suite 105||Malibu|CA|90265|323-555-1212|STANDARD|2020-03-14 16:04|2020-03-18 9:00
Anthony|Stark|9123456780|123 Pacific Coast Highway|Suite 105||Malibu|CA|90265|323-555-1212|URGENT|2020-03-12 13:04|2020-03-20 15:30
Anthony|Stark|9123456780|123 Pacific Coast Highway|Suite 105||Malibu|CA|90265|323-555-1212|STANDARD|2020-03-12 13:04|2020-03-31 8:30
Tony|Stark|9123456780|123 Pacific Coast Highway|Suite 105||Malibu|CA|90265|800-444-3210|URGENT|2020-03-15 13:05|2020-03-17 9:45
Tony|Stark|9123456780|123 Pacific Coast Highway|||Malibu|CA|90265|800-444-3210|STANDARD|2020-03-15 13:05|2020-03-19 16:30
Peter|Parker|9998887772|15301 Laguna Bay Drive|Suite 300||Laguna Beach|CA|92651|800-888-9999|URGENT|2020-03-14 16:04|2020-03-16 8:45
Peter|Parker|9998887772|15301 Laguna Bay Drive|Suite 300||Laguna Beach|CA|92651|800-888-9999|STANDARD|2020-03-14 16:04|2020-03-20 9:15
Peter|Parker|9998887772|15301 Laguna Bay Drive|Suite 300||Laguna Beach|CA|92651|800-888-9999|URGENT|2020-03-12 13:04|2020-03-23 9:00
Peter|Parker|9998887772|15301 Laguna Bay Drive|Suite 300||Laguna Beach|CA|92651|800-888-9999|STANDARD|2020-03-12 13:04|2020-04-02 13:30
Peter|Parker|9998887772|15301 Laguna Bay Dr|||Laguna Beach|CA|92651|800-888-9999|URGENT|2020-03-15 13:05|2020-03-17 11:15
Peter|Parker|9998887772|15301 Laguna Bay Dr|||Laguna Beach|CA|92651|800-888-9999|STANDARD|2020-03-15 13:05|2020-03-20 10:00
BAD|DATA16|9999999999|INVALID EXTRACTION DATE|||LOS ANGELES|CA|90011|999-999-9999|URGENT|INVALID|2100-01-01 0:00
BAD|DATA1|9999999999|EXTRACTION DATE GT CURRENT|||LOS ANGELES|CA|90011|999-999-9999|URGENT|2100-01-01 0:00|2100-01-01 0:00
BAD|DATA2|9999999999|EXTRACTION DATE GT NEXT APPT|||LOS ANGELES|CA|90011|999-999-9999|URGENT|2020-03-31 0:00|2020-03-20 9:00
BAD|DATA3|9999999999|NO EXTRACTION DATE|||LOS ANGELES|CA|90011|999-999-9999|URGENT||2020-03-20 9:00
BAD|DATA4|9999999999|NO APPT DATE|||LOS ANGELES|CA|90011|999-999-9999|URGENT|2020-03-15 0:00|
BAD|DATA4|9999999999|BAD APPT DATE|||LOS ANGELES|CA|90011|999-999-9999|URGENT|2020-03-15 0:00|INVALID
BAD|DATA5|9999999999|BAD APPT TYPE|||LOS ANGELES|CA|90011|999-999-9999|INVALID|2020-03-15 0:00|2020-03-16 0:00
BAD|DATA15|9999999999|NO APPT TYPE|||LOS ANGELES|CA|90011|999-999-9999||2020-03-15 0:00|2020-03-16 0:00
|DATA6|9999999999|NO FIRST NAME|||LOS ANGELES|CA|90011|999-999-9999|STANDARD|2020-03-14 16:04|2020-03-18 9:00
BAD||9999999999|NO LAST NAME|||LOS ANGELES|CA|90011|999-999-9999|STANDARD|2020-03-14 16:04|2020-03-18 9:00
BAD|DATA8||NO NPI|||LOS ANGELES|CA|90011|999-999-9999|STANDARD|2020-03-14 16:04|2020-03-18 9:00
BAD|DATA9|9999999999||||LOS ANGELES|CA|90011|999-999-9999|STANDARD|2020-03-14 16:04|2020-03-18 9:00
BAD|DATA10|9999999999|NO CITY||||CA|90011|999-999-9999|STANDARD|2020-03-14 16:04|2020-03-18 9:00
BAD|DATA11|9999999999|NO STATE||LOS ANGELES|ERROR||90011|999-999-9999|STANDARD|2020-03-14 16:04|2020-03-18 9:00
BAD|DATA12|9999999999|NO ZIP|||LOS ANGELES|CA||999-999-9999|STANDARD|2020-03-14 16:04|2020-03-18 9:00
BAD|DATA13|9999999999|NO PHONE NUMBER|||LOS ANGELES|CA|90011||STANDARD|2020-03-14 16:04|2020-03-18 9:00
BAD|DATA14|9999999999|CITY STATE ZIP MISMATCH|||LOS ANGELES|CA|37076|999-999-9999|STANDARD|2020-03-14 16:04|2020-03-18 9:00
Natasha|Romanov|9998887773|5412 S 14th Ave|Suite 500||LONG BEACH|CA|90814|562-555-1881|STANDARD|2020-03-14 16:04|2020-03-17 11:30
Carol|Danvers|9998889990|1000 N 15th St|||LOS ANGELES|CA|90011|323-884-9871|URGENT|2020-03-14 16:04|2020-03-15 9:45
Peter|Parker|9998887772|15301 Laguna Bay Dr|||Laguna Beach|CA|92651|800-888-9999|STANDARD|2020-03-15 13:05|2020-03-20 10:00
